ID;pH;EC;Na;K;MO;Kdisp;Silt;ECEC;BD;CEC;Ca;Mg;Sand;Clay;SQIw;SAVI;EVI;NDWI;NDVI;NDMI;NDII;GCI;clase;X;Y;dpto;prov;dist;Culitvo priorizado;Textura;TS;GM;ZV;CL;EG;MP;SSST;ECP;EMP;EPP;ESP;CM;CK;MK;CMK;DC;FC;NDC;GR;SK;SA;Pmon;Pan;Tmin;Tmax;Tavg;Slope;Hillshade;Orientition;Elevation;TPI;TRI;TWI;Precipitation;Temperature
216;7.3;7.85;0.2;0.8;0.6;233.3;13.86;8.4;1.61;23.8;4.6;1.8;80.62;5.53;0.46;0.36;0.49;-0.3;0.45;0.23;0.12;0.98;Bajo;586229;9438317;Piura;Morropon;Chulucanas;Limon;Loamy sand;Fluvisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Non salt afected soil;54.76;21.43;9.52;2.38;2.56;5.75;2.25;8;48.66;256.76;-208.1;0;NA;NA;13.42;161;18.12;30.1;24.12;3.25;174;90;83;-0.857;1.714;7.868;181.43;24.79
217;7.7;4.8;0.5;0.3;0.4;105.5;13.86;10.5;1.61;22.8;5;2.7;80.62;5.53;0.35;0.09;0.11;-0.32;0.11;0.16;0.06;0.75;Muy bajo;585826;9437583;Piura;Morropon;Chulucanas;Mango;Loamy sand;Cambisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;47.62;25.71;2.86;4.76;1.85;16.67;9;25.67;35.59;299.1;-263.51;0;NA;NA;13.25;159;18.06;30.11;24.07;11.47;195;314.89;93;4.714;3.057;6.657;179.3;24.79
218;8;18.31;0.5;0.7;0.7;149.6;25.86;14.6;1.55;23.8;7.8;4.6;60.62;13.53;0.36;0.25;0.31;-0.35;0.3;0.23;0.12;0.89;Muy bajo;586164;9438081;Piura;Morropon;Chulucanas;Mango;Sandy loam;Lixisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Alkaline saline soil;53.42;31.51;4.79;3.42;1.7;11.14;6.57;17.71;59.62;476.8;-417.18;0;NA;NA;13.42;161;18.12;30.1;24.12;3.24;180;180;84;-0.327;1.038;7.876;180.78;24.79
219;7.5;19.26;0.1;0.6;1.2;131.2;13.86;11.7;1.6;19.4;6.2;2.8;80.62;5.53;0.41;0.25;0.32;-0.35;0.33;0.14;0.03;0.73;Muy bajo;591918;9433040;Piura;Morropon;Chulucanas;Mango;Loamy sand;Lixisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Non salt afected soil;52.99;23.93;5.13;0.85;2.21;10.33;4.67;15;40.46;355.38;-314.92;0;NA;NA;12.67;152;18.16;29.93;24.04;3.63;186;243.53;92;-0.082;0.986;7.849;191.32;24.8
220;7.5;20.37;0.3;0.7;1.3;138.6;33.86;19.5;1.51;18.4;14;2.5;46.62;19.53;0.73;0.35;0.47;-0.31;0.44;0.26;0.13;0.91;Bajo;597908;9437992;Piura;Morropon;Chulucanas;Mango;Loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Alluvial deposit;Neutral saline soil;71.79;12.82;3.59;1.54;5.6;20;3.57;23.57;57.25;698.74;-641.49;0;NA;NA;14.08;169;18.26;29.79;24.03;3.25;186;270;121;2.082;2.108;8.213;218.75;24.8
221;7.7;2.17;0.9;0.6;1.2;123.1;39.86;19.8;1.51;19.5;12.9;4.4;44.62;15.53;0.33;0.18;0.2;-0.36;0.21;0.2;0.08;0.85;Muy bajo;591878;9432967;Piura;Morropon;Chulucanas;Maiz;Loam;Lixisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;65.15;22.22;3.03;4.55;2.93;21.5;7.33;28.83;69.88;701.52;-631.64;0;NA;NA;12.67;152;18.16;29.93;24.04;2.29;177;45.12;92;-0.224;1.329;8.31;190.72;24.8
222;7.6;16.32;0.3;0.3;1.6;80.7;41.78;12.1;1.51;19.3;7.8;2.7;42.54;15.67;0.52;0.21;0.26;-0.35;0.25;0.19;0.07;0.81;Muy bajo;587388;9439412;Piura;Morropon;Chulucanas;Mango;Loam;Fluvisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;64.46;22.31;2.48;2.48;2.89;26;9;35;33.39;424.74;-391.35;0;NA;NA;12.75;153;18.17;30.06;24.13;4.59;186;314.89;83;1.327;1.346;7.497;187.12;24.8
223;7.3;6.66;1.1;0.5;1.2;132.2;49.78;18.7;1.49;19.7;10.6;5;34.54;15.67;0.33;0.24;0.3;-0.32;0.3;0.24;0.14;0.88;Muy bajo;587212;9439540;Piura;Morropon;Chulucanas;Mango;Loam;Fluvisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;56.68;26.74;2.67;5.88;2.12;21.2;10;31.2;69.1;614.48;-545.38;0.63334879;NA;NA;12.75;153;18.17;30.06;24.13;3.62;177;26.66;82;-0.673;1.889;7.745;186.93;24.8
224;7.3;2.75;0.2;0.9;2.5;186.3;47.78;15.7;1.49;19.7;9.9;3.7;36.54;15.67;0.6;0.24;0.3;-0.32;0.3;0.18;0.08;0.74;Medio;587250;9439579;Piura;Morropon;Chulucanas;Mango;Loam;Fluvisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;63.06;23.57;5.73;1.27;2.68;11;4.11;15.11;61.69;546.66;-484.97;0;NA;NA;12.75;153;18.17;30.06;24.13;3.24;180;180;82;0.224;1.681;7.847;186.93;24.8
225;7.2;3.71;0.1;1;1.5;281.9;33.78;13.9;1.52;23.4;7.3;3.5;50.54;15.67;0.62;0.16;0.2;-0.35;0.2;0.22;0.1;0.87;Bajo;585863;9437431;Piura;Morropon;Chulucanas;Mango;Loam;Cambisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Non salt afected soil;52.52;25.18;7.19;0.72;2.09;7.3;3.5;10.8;60.75;424.18;-363.43;0;NA;NA;13.25;159;18.06;30.11;24.07;14.95;163;139.29;88;0.673;3.711;6.381;179.25;24.78
226;7.6;12.26;0.6;0.1;1.2;50.4;13.78;12.3;1.6;19.4;5.9;3.2;80.54;5.67;0.32;0.41;0.56;-0.28;0.5;0.3;0.18;1.03;Muy bajo;592377;9432931;Piura;Morropon;Chulucanas;Mango;Loamy sand;Lixisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Alluvial deposit;Neutral saline soil;47.97;26.02;0.81;4.88;1.84;59;32;91;30.84;353.08;-322.24;0;NA;NA;12.83;154;18.2;29.91;24.07;2.29;177;134.89;92;2.041;1.277;8.285;192.87;24.8
227;7.3;3.09;1.1;0.8;1.7;268.6;45.78;19;1.51;19.5;11.5;4.6;40.54;13.67;0.3;0.29;0.38;-0.33;0.35;0.3;0.17;0.99;Bajo;592241;9432700;Piura;Morropon;Chulucanas;Mango;Loam;Lixisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;60.53;24.21;4.21;5.79;2.5;14.38;5.75;20.13;82.82;644.48;-561.66;0.58292398;NA;NA;12.67;152;18.16;29.93;24.04;5.85;172;123.58;94;1.469;1.643;7.375;191.99;24.8
228;7.7;14.83;0.6;0.5;1.6;142.2;49.78;16.6;1.48;19.4;10.2;3.8;32.54;17.67;0.49;0.25;0.3;-0.37;0.29;0.19;0.04;0.8;Bajo;586369;9439408;Piura;Morropon;Chulucanas;Mango;Loam;Cambisols;Alluvial plain;Tropical desert scrub;E (d) A';Cenozoico;Eolian deposit;Neutral saline soil;61.45;22.89;3.01;3.61;2.68;20.4;7.6;28;54.16;563.18;-509.02;0;NA;NA;13.42;161;18.13;30.1;24.13;1.62;180;180;88;2.408;1.497;8.585;182.98;24.8
229;7.4;10.84;0.1;0.6;0.4;156.8;7.78;7.6;1.63;0;3.5;1.9;88.54;3.67;0.43;0.16;0.19;-0.34;0.18;0.09;0;0.61;Bajo;590286;9432187;Piura;Morropon;Chulucanas;Mango;Sandy;Ferralsols;Alluvial plain;Tropical desert scrub;E (d) A';Cenozoico;Eolian deposit;Non salt afected soil;46.05;25;7.89;1.32;1.84;5.83;3.17;9;36.23;209.58;-173.35;0;NA;NA;12.17;146;17.64;29.92;23.8;4.86;180;270;102;2.367;1.574;7.636;182.85;24.71
230;7.9;9.27;0.3;0.6;1.6;153.6;21.78;21.1;1.56;17.7;16;3.2;66.54;11.67;0.47;0.39;0.54;-0.27;0.49;0.37;0.24;1.16;Bajo;593380;9434577;Piura;Morropon;Chulucanas;Mango;Sandy loam;Lixisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Alluvial deposit;Neutral saline soil;75.83;15.17;2.84;1.42;5;26.67;5.33;32;55.94;807.54;-751.6;0;NA;NA;13;156;18.22;29.82;24.02;1.62;180;123.59;88;-2.49;1.445;8.641;199.34;24.8
231;7.4;7.92;0.2;1.4;1.1;281.1;45.78;11.8;1.51;19.9;6.7;2.5;40.54;13.67;0.52;0.24;0.29;-0.31;0.29;0.29;0.17;0.99;Bajo;587829;9439876;Piura;Morropon;Chulucanas;Mango;Loam;Cambisols;Floodplain;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;56.78;21.19;11.86;1.69;2.68;4.79;1.79;6.57;78.95;370.76;-291.81;0;NA;NA;12.83;154;18.21;30.02;24.12;3.63;186;296.48;83;0.918;2.098;7.736;188.9;24.8
232;7.5;4.48;1.3;0.8;1.7;211.6;41.71;20.5;1.51;17.7;12.7;4.7;42.54;15.74;0.33;0.22;0.28;-0.32;0.28;0.1;0.03;0.7;Bajo;591892;9433260;Piura;Morropon;Chulucanas;Mango;Loam;Lixisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline sodic soil;61.95;22.93;3.9;6.34;2.7;15.88;5.88;21.75;89.19;701.54;-612.35;1.06671768;NA;NA;12.67;152;18.16;29.93;24.04;1.63;177;90;93;1.837;1.149;8.643;191.31;24.8
233;7.8;6.71;1;0.3;1.1;117.6;21.71;22.9;1.57;19.4;16.7;3.9;68.54;9.74;0.2;0.25;0.32;-0.35;0.33;0.24;0.11;0.9;Muy bajo;591963;9433014;Piura;Morropon;Chulucanas;Limon;Sandy loam;Lixisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;72.93;17.03;1.31;4.37;4.28;55.67;13;68.67;61.83;858.9;-797.07;0;NA;NA;12.67;152;18.16;29.93;24.04;1.62;180;146.2;93;1;1.069;8.656;191.32;24.8
234;7.3;23.41;0.4;1.6;1.2;348;23.71;12.7;1.57;19.8;6.9;2.8;66.54;9.74;0.46;0.42;0.59;-0.28;0.53;0.35;0.22;1.09;Bajo;592457;9432647;Piura;Morropon;Chulucanas;Mango;Sandy loam;Lixisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Alluvial deposit;Neutral saline soil;54.33;22.05;12.6;3.15;2.46;4.31;1.75;6.06;93.66;388.42;-294.76;0;NA;NA;12.83;154;18.2;29.91;24.07;3.63;174;63.53;92;-0.51;1.264;7.854;192.78;24.8
235;7.6;22.32;0.3;0.2;0.9;48.3;16;12.5;1.6;18.4;8.2;2.8;76.9;7.1;0.38;0.37;0.51;-0.29;0.47;0.31;0.19;1.01;Muy bajo;598082;9438480;Piura;Morropon;Chulucanas;Mango;Sandy loam;Ferralsols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Alluvial deposit;Non salt afected soil;65.6;22.4;1.6;2.4;2.93;41;14;55;29.46;445.34;-415.88;0;NA;NA;14.5;174;18.27;29.82;24.05;1.62;180;180;124;3.082;1.353;8.927;220.12;24.8
236;7.9;9.3;1;0.3;0.6;79.6;16;10.6;1.6;18.4;5.8;2.5;76.9;7.1;0.03;0.25;0.32;-0.33;0.31;0.17;0.06;0.76;Muy bajo;587925;9434035;Piura;Morropon;Chulucanas;Mango;Sandy loam;Ferralsols;Alluvial plain;Tropical desert scrub;E (d) A';Cenozoico;Eolian deposit;Neutral saline sodic soil;54.72;23.58;2.83;9.43;2.32;19.33;8.33;27.67;48.55;330.6;-282.05;1.93430708;NA;NA;12.67;152;18.1;30.04;24.07;2.29;177;45.11;91;1.531;1.875;8.279;178.13;24.71
237;7.6;3.75;0.1;0.6;1.4;177.9;14;11.3;1.6;23.1;6.3;3.3;78.9;7.1;0.38;0.29;0.37;-0.33;0.35;0.15;0.05;0.74;Bajo;585833;9437804;Piura;Morropon;Chulucanas;Mango;Loamy sand;Ferralsols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;55.75;29.2;5.31;0.88;1.91;10.5;5.5;16;41.41;373.38;-331.97;0;NA;NA;13.25;159;18.06;30.11;24.07;8.72;174;158.12;87;0.49;2.929;6.911;179.58;24.79
238;7.5;7.33;0.2;0.5;1.6;105;48;27.1;1.51;16.7;21.6;3.8;40.9;11.1;0.65;0.32;0.43;-0.32;0.4;0.22;0.11;0.79;Bajo;599064;9439703;Piura;Morropon;Chulucanas;Mango;Loam;Lixisols;Floodplain;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Alluvial deposit;Non salt afected soil;79.7;14.02;1.85;0.74;5.68;43.2;7.6;50.8;55.56;1075.46;-1019.9;0;NA;NA;14.92;179;18.25;29.81;24.02;5.12;177;161.5;134;1.041;1.772;7.869;224.53;24.7
239;7.7;9.3;0.9;1;1.2;224.5;30;15.85;1.52;23.5;8;4.7;50.9;19.1;0.35;0.19;0.23;-0.38;0.23;0.12;0;0.66;Muy bajo;586253;9437790;Piura;Morropon;Chulucanas;Mango;Loam;Ferralsols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Non salt afected soil;50.47;29.65;6.31;5.68;1.7;8;4.7;12.7;83.49;489.52;-406.03;0.42200267;NA;NA;13.17;158;18.1;30.1;24.09;1.62;180;90;83;-0.184;1.119;8.556;180.78;24.8
240;7.8;3.7;0.8;0.4;0.7;102.7;14;9.4;1.6;19.3;4.3;1.9;78.9;7.1;0.16;0.18;0.22;-0.3;0.21;0.24;0.13;0.92;Muy bajo;588456;9433765;Piura;Morropon;Chulucanas;Mango;Loamy sand;Lixisols;Alluvial plain;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline sodic soil;45.74;20.21;4.26;8.51;2.26;10.75;4.75;15.5;45.53;246.64;-201.11;1.36207744;NA;NA;12.67;152;18.1;30.04;24.07;5.12;183;341.5;88;-0.429;1.552;7.466;179.21;24.7
241;7.3;6.39;0.1;1.4;1;325.4;52;10.3;1.51;20.1;5;1.8;38.9;9.1;0.46;0.37;0.49;-0.29;0.46;0.3;0.17;1.08;Bajo;587786;9439801;Piura;Morropon;Chulucanas;Mango;Silty loam;Cambisols;Floodplain;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Non salt afected soil;48.54;17.48;13.59;0.97;2.78;3.57;1.29;4.86;73.56;275.18;-201.62;0;NA;NA;12.83;154;18.21;30.02;24.12;1.62;180;180;82;0.061;1.434;8.542;188.64;24.8
242;7.6;5.78;0.8;0.4;0.4;103.5;13.86;9.3;1.6;23.9;3.8;2.3;78.98;7.17;0.21;0.17;0.21;-0.35;0.21;0.12;0;0.67;Muy bajo;587504;9434294;Piura;Morropon;Chulucanas;Mango;Loamy sand;Leptosols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline sodic soil;40.86;24.73;4.3;8.6;1.65;9.5;5.75;15.25;45.71;234.94;-189.23;1.38343645;NA;NA;12.33;148;18.03;30.06;24.05;3.62;183;333.34;88;1.776;2.216;7.787;178.35;24.74
243;7.5;10.79;0.1;0.6;1;166;15.86;11.9;1.59;18.1;6.3;2.9;76.98;7.17;0.41;0.32;0.41;-0.34;0.39;0.24;0.1;0.95;Bajo;592121;9433009;Piura;Morropon;Chulucanas;Mango;Sandy loam;Lixisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;52.94;24.37;5.04;0.84;2.17;10.5;4.83;15.33;40.73;362.58;-321.85;0;NA;NA;12.67;152;18.16;29.93;24.04;8.11;169;53.24;91;-0.163;1.866;7.035;192.17;24.8
244;8;16.73;0.9;0.6;1.1;134;47.86;17.6;1.51;19.7;9.7;4.4;40.98;11.17;0.08;0.29;0.37;-0.32;0.36;0.24;0.12;0.83;Muy bajo;587333;9439669;Piura;Morropon;Chulucanas;Mango;Loam;Fluvisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Alkaline saline soil;55.11;25;3.41;5.11;2.2;16.17;7.33;23.5;66.68;557.52;-490.84;0.07562748;NA;NA;12.75;153;18.17;30.06;24.13;3.24;180;63.53;81;-0.163;1.67;7.839;187.36;24.8
245;7.8;24.42;0.1;0.7;1;226.9;25.86;14;1.57;23.8;8.3;3.9;64.98;9.17;0.33;0.16;0.2;-0.27;0.19;0.21;0.09;0.81;Bajo;586245;9438150;Piura;Morropon;Chulucanas;Mango;Sandy loam;Lixisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;59.29;27.86;5;0.71;2.13;11.86;5.57;17.43;48.93;479.68;-430.75;0;NA;NA;13.42;161;18.12;30.1;24.12;1.63;177;90;84;0.347;1.001;8.558;181.21;24.79
246;7.3;24.49;0.2;1.2;0.9;301.9;23.86;17.35;1.57;23.4;11.6;3.1;66.98;9.17;0.49;0.23;0.29;-0.33;0.28;0.18;0.09;0.77;Bajo;586127;9437578;Piura;Morropon;Chulucanas;Mango;Sandy loam;Ferralsols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Non salt afected soil;66.86;17.87;6.92;1.15;3.74;9.67;2.58;12.25;75.87;607.26;-531.39;0;NA;NA;13.17;158;18.1;30.1;24.09;2.29;183;225.11;81;-1.959;1.564;8.206;180.25;24.79
247;7.7;36.31;0.1;0.2;0.5;47.6;7.86;8.3;1.62;22.9;4.8;1.7;86.98;5.17;0.35;0.41;0.57;-0.29;0.51;0.34;0.22;1.06;Muy bajo;586685;9440240;Piura;Morropon;Chulucanas;Mango;Loamy sand;Lixisols;Floodplain;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Non salt afected soil;57.83;20.48;2.41;1.2;2.82;24;8.5;32.5;19.19;262.28;-243.09;0;NA;NA;13;156;18.15;30.12;24.14;1.63;177;90;80;-0.224;1.25;8.518;185.08;24.8
248;7.2;18.23;0.9;2.1;1.7;466.6;37.86;18.8;1.51;17.7;10.3;4;44.98;17.17;0.44;0.29;0.41;-0.29;0.33;0.31;0.18;1.07;Muy bajo;592036;9433254;Piura;Morropon;Chulucanas;Mango;Loam;Lixisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;54.79;21.28;11.17;4.79;2.58;4.9;1.9;6.81;134.1;575.22;-441.12;0;NA;NA;12.67;152;18.16;29.93;24.04;4.88;189;270;93;0.224;1.852;7.563;192.14;24.8
249;7.4;17.7;0.9;0.3;0.9;83.1;43.86;17;1.52;22.8;10.7;3.1;44.98;11.17;0.26;0.33;0.43;-0.27;0.4;0.29;0.17;1.02;Muy bajo;587094;9441914;Piura;Morropon;Chulucanas;Mango;Loam;Lixisols;Floodplain;Tropical desert scrub;E (d) A';Cenozoico;Eolian deposit;Neutral saline soil;62.94;18.24;1.76;5.29;3.45;35.67;10.33;46;51.97;567.12;-515.15;0.19372918;NA;NA;13.25;159;18.22;30.1;24.15;3.25;186;270;79;1.122;1.154;7.793;189.97;24.8
250;7.8;4.29;0.4;0.2;0.7;89.1;13.86;12.4;1.6;19.5;8.2;2.6;78.83;7.31;0.33;0.18;0.2;-0.36;0.21;0.2;0.08;0.85;Muy bajo;591878;9432967;Piura;Morropon;Chulucanas;Mango;Loamy sand;Lixisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;66.13;20.97;1.61;3.23;3.15;41;13;54;31.62;440.12;-408.5;0;NA;NA;12.67;152;18.16;29.93;24.04;2.29;177;45.12;92;-0.224;1.329;8.31;190.72;24.8
251;7.5;11.01;0.1;0.9;1;224.4;27.86;15.5;1.55;21.5;10.2;2.8;60.83;11.31;0.44;0.37;0.5;-0.31;0.43;0.28;0.16;1.03;Bajo;587337;9440135;Piura;Morropon;Chulucanas;Mango;Sandy loam;Fluvisols;Floodplain;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Non salt afected soil;65.81;18.06;5.81;0.65;3.64;11.33;3.11;14.44;57.96;535.68;-477.72;0;NA;NA;12.75;153;18.2;30.08;24.13;4.86;180;180;81;1.714;1.471;7.412;187.93;24.8
252;7.7;31.55;0.1;0.3;1;99.1;41.86;13.75;1.52;22.1;8.5;3.1;44.83;13.31;0.43;0.34;0.44;-0.3;0.4;0.18;0.07;0.77;Muy bajo;586399;9440381;Piura;Morropon;Chulucanas;Mango;Loam;Vertisols;Floodplain;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;61.82;22.55;2.18;0.73;2.74;28.33;10.33;38.67;29.77;466.68;-436.91;0;NA;NA;13;156;18.15;30.12;24.14;2.29;177;45.11;80;1.694;1.358;8.148;183.95;24.8
253;7.9;37.79;0.9;0.4;0.7;173.2;15.86;10.4;1.58;19.7;5;2.1;72.83;11.31;0.11;0.25;0.32;-0.33;0.3;0.12;0.02;0.61;Muy bajo;586848;9440061;Piura;Morropon;Chulucanas;Mango;Sandy loam;Ferralsols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline sodic soil;48.08;20.19;3.85;8.65;2.38;12.5;5.25;17.75;49.07;283.72;-234.65;1.54695093;NA;NA;12.75;153;18.2;30.08;24.13;8.72;174;158.12;86;3.429;3.32;6.865;185.74;24.8
254;7.6;34.81;0.1;0.5;1.2;127.4;39.86;12.6;1.51;22.9;7.8;3.2;44.83;15.31;0.51;0.36;0.49;-0.29;0.44;0.28;0.16;0.95;Muy bajo;586727;9440245;Piura;Morropon;Chulucanas;Mango;Loam;Lixisols;Floodplain;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Non salt afected soil;61.9;25.4;3.97;0.79;2.44;15.6;6.4;22;38.24;438.08;-399.84;0;NA;NA;13;156;18.15;30.12;24.14;1.62;180;180;80;0.102;0.909;8.518;185.52;24.8
255;7.6;7.48;0.2;1.9;0.9;413.7;41.86;24.5;1.47;22.2;16.1;5.3;32.83;25.31;0.76;0.2;0.25;-0.3;0.24;0.17;0.06;0.71;Bajo;587951;9437100;Piura;Morropon;Chulucanas;Mango;Loam;Luvisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Alluvial deposit;Neutral saline soil;65.71;21.63;7.76;0.82;3.04;8.47;2.79;11.26;115.61;869.86;-754.25;0;NA;NA;13.08;157;18.14;30.01;24.08;3.24;180;161.5;83;-1;2.232;7.873;184.54;24.8
256;7.1;29.91;0.3;3;2.2;911;39.86;30.8;1.44;20.1;20.7;5.3;28.83;31.31;0.97;0.21;0.27;-0.3;0.26;0.19;0.1;0.77;Medio;587868;9437755;Piura;Morropon;Chulucanas;Limon;Clay loam;Fluvisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Alluvial deposit;Neutral saline soil;67.21;17.21;9.74;0.97;3.91;6.9;1.77;8.67;172.21;1078.14;-905.93;0;NA;NA;12.75;153;18.17;30.03;24.08;4.59;186;225.11;82;-2.082;1.536;7.525;185.13;24.8
257;7.7;12.48;0.2;0.2;0.6;55.1;21.86;8.7;1.58;22;4.7;2.1;70.83;7.31;0.35;0.41;0.56;-0.3;0.49;0.25;0.13;0.87;Muy bajo;586394;9440433;Piura;Morropon;Chulucanas;Mango;Sandy loam;Vertisols;Floodplain;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Non salt afected soil;54.02;24.14;2.3;2.3;2.24;23.5;10.5;34;22.27;268.76;-246.49;0;NA;NA;13;156;18.15;30.12;24.14;1.63;177;90;79;0.592;1.308;8.495;184.3;24.8
258;8;15.61;1.1;1.4;2.2;307.9;41.86;28.6;1.46;20.8;17.5;7.6;30.83;27.31;0.41;0.22;0.29;-0.32;0.28;0.2;0.08;0.8;Bajo;587460;9438395;Piura;Morropon;Chulucanas;Mango;Clay loam;Fluvisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Alluvial deposit;Alkaline saline soil;61.19;26.57;4.9;3.85;2.3;12.5;5.43;17.93;120.92;996.08;-875.16;0;NA;NA;12.92;155;18.15;30.07;24.12;3.62;183;206.66;82;0.306;1.358;7.734;185.13;24.8
259;7.7;33.55;0.8;0.4;0.6;128.2;25.93;14.1;1.57;20.1;9.4;2.5;64.69;9.38;0.19;0.37;0.5;-0.31;0.43;0.23;0.13;0.9;Muy bajo;587307;9440112;Piura;Morropon;Chulucanas;Mango;Sandy loam;Fluvisols;Floodplain;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;66.67;17.73;2.84;5.67;3.76;23.5;6.25;29.75;51.65;492.34;-440.69;0.3820801;NA;NA;12.75;153;18.2;30.08;24.13;3.62;183;206.66;78;-1.592;1.713;7.708;187.93;24.8
260;8;5.06;2.4;0.6;1.4;189.3;33.93;30;1.49;20.7;19.1;6.9;42.69;23.38;0.44;0.39;0.54;-0.3;0.49;0.24;0.14;0.86;Bajo;587652;9438091;Piura;Morropon;Chulucanas;Mango;Loam;Fluvisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Alluvial deposit;Neutral saline sodic soil;63.67;23;2;8;2.77;31.83;11.5;43.33;117.83;1050.72;-932.89;3.46354164;NA;NA;12.92;155;18.15;30.07;24.12;3.63;174;63.53;84;2.143;0.99;7.733;185.13;24.8
261;7.7;14.64;2.6;1.2;1.1;273;51.93;23.9;1.46;20.8;12.7;6.4;24.69;23.38;0.38;0.22;0.28;-0.32;0.27;0.16;0.06;0.74;Bajo;587457;9438636;Piura;Morropon;Chulucanas;Mango;Silty loam;Lixisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline sodic soil;53.14;26.78;5.02;10.88;1.98;10.58;5.33;15.92;142.58;750.18;-607.6;5.28311729;NA;NA;12.92;155;18.15;30.07;24.12;1.63;183;270;84;1.408;1.029;8.546;185.75;24.8
262;7.7;11.24;2.9;0.6;1.6;229.1;51.93;36;1.45;20.7;23.4;7.1;24.69;23.38;0.54;0.31;0.41;-0.33;0.39;0.24;0.12;0.81;Bajo;587698;9438115;Piura;Morropon;Chulucanas;Mango;Silty loam;Fluvisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Alluvial deposit;Neutral saline sodic soil;65;19.72;1.67;8.06;3.3;39;11.83;50.83;134.97;1250.52;-1115.55;4.13421623;NA;NA;12.92;155;18.15;30.07;24.12;5.14;172;71.63;82;0.041;0.968;7.387;185.34;24.8
