ID;pH;EC;Na;K;MO;Kdisp;Silt;ECEC;BD;CEC;Ca;Mg;Sand;Clay;SQIw;SAVI;EVI;NDWI;NDVI;NDMI;NDII;GCI;clase;X;Y;dpto;prov;dist;Culitvo priorizado;Textura;TS;GM;ZV;CL;EG;MP;SSST;ECP;EMP;EPP;ESP;CM;CK;MK;CMK;DC;FC;NDC;GR;SK;SA;Pmon;Pan;Tmin;Tmax;Tavg;Slope;Hillshade;Orientition;Elevation;TPI;TRI;TWI;Precipitation;Temperature
615;6.52;11.97;0.7;0.6;1.4;123.8;45.72;19.3;1.39;15.5;11.6;4.4;11.18;43.1;0.7;0.39;0.53;-0.27;0.47;0.29;0.16;0.96;Bajo;604376;9425358;Piura;Morropon;La Matanza;Limon;Silty loam;Ferralsols;Alluvial terrace;Tropical Premontane desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;60.1;22.8;3.11;3.63;2.64;19.33;7.33;26.67;63.58;642.66;-579.08;0;NA;NA;15;180;18.27;29.82;24.04;5.14;172;108.36;104;-0.286;1.863;7.624;225.18;24.9
616;7.97;21.82;0.6;0.5;2.5;75.6;43.72;20.9;1.44;20.2;14.8;4;27.18;29.1;0.58;0.38;0.53;-0.27;0.47;0.25;0.13;0.95;Bajo;601691;9425420;Piura;Morropon;La Matanza;Limon;Clay loam;Fluvisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;70.81;19.14;2.39;2.87;3.7;29.6;8;37.6;59.1;775.58;-716.48;0;NA;NA;14.42;173;18.2;29.93;24.06;3.25;174;90;99;0.673;1.504;8.024;214.47;24.8
617;8.17;12.95;0.9;0.9;1.3;240.8;45.86;24;1.43;20.6;16;4.7;21.18;32.96;0.43;0.36;0.49;-0.29;0.44;0.25;0.13;0.91;Bajo;603709;9423452;Piura;Morropon;La Matanza;Banano;Clay loam;Fluvisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Alkaline saline soil;66.67;19.58;3.75;3.75;3.4;17.78;5.22;23;86.99;849.42;-762.43;0;NA;NA;14.83;178;18.22;29.89;24.04;3.63;174;63.53;105;2.429;1.784;7.956;218.78;24.81
618;8.16;14.61;1;0.6;1.9;112;39.86;23.2;1.45;17.5;14.3;5.3;31.18;28.96;0.34;0.35;0.48;-0.27;0.42;0.27;0.16;0.91;Muy bajo;603950;9425516;Piura;Morropon;La Matanza;Limon;Clay loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;E (d) A';Cenozoico;Fluvial deposit;Alkaline saline soil;61.64;22.84;2.59;4.31;2.7;23.83;8.83;32.67;75.31;789;-713.69;0;NA;NA;14.75;177;18.26;29.82;24.04;7.25;174;26.66;103;-0.857;2.213;7.278;224.1;24.9
619;7.82;223.52;0.5;0.5;2.4;98.6;53.86;14.6;1.42;15.8;8.6;3.5;15.18;30.96;0.56;0.22;0.29;-0.27;0.27;0.36;0.23;1.19;Bajo;603322;9427399;Piura;Morropon;La Matanza;Limon;Silty clay loam;Acrisols;Floodplain;Tropical Premontane desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;58.9;23.97;3.42;3.42;2.46;17.2;7;24.2;49.55;482.9;-433.35;0;NA;NA;14.83;178;18.27;29.87;24.07;2.29;177;45.12;100;1.388;3.022;8.375;224.09;24.9
620;8.36;14.45;0.6;0.8;2;201;37.78;28;1.43;20.1;20.6;5;27.11;35.1;0.68;0.45;0.63;-0.23;0.52;0.38;0.25;1.32;Medio;604082;9423425;Piura;Morropon;La Matanza;Banano;Clay loam;Fluvisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Alkaline saline soil;73.57;17.86;2.86;2.14;4.12;25.75;6.25;32;80.1;1063.88;-983.78;0;NA;NA;14.83;178;18.22;29.89;24.04;2.29;183;314.88;102;-0.612;0.853;8.416;220.18;24.8
621;7.1;24.37;0.3;0.8;2.3;231.5;59.93;14.1;1.43;18;8.7;3.3;14.97;25.1;0.75;0.34;0.45;-0.29;0.41;0.23;0.1;0.93;Medio;604068;9427276;Piura;Morropon;La Matanza;MANGO;Silty loam;Ferralsols;Alluvial terrace;Tropical Premontane desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;61.7;23.4;5.67;2.13;2.64;10.88;4.13;15;57.81;481.94;-424.13;0;NA;NA;15.17;182;18.3;29.81;24.06;1.62;180;108.36;101;-0.122;1.304;8.75;226.26;24.9
622;7.94;17.8;0.8;0.7;2.5;188.8;53.78;17.5;1.41;18.3;11.4;4.1;12.9;33.32;0.4;0.32;0.42;-0.29;0.38;0.29;0.16;1.01;Bajo;603765;9426594;Piura;Morropon;La Matanza;Banano;Silty clay loam;Fluvisols;Alluvial terrace;Tropical Premontane desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;65.14;23.43;4;4.57;2.78;16.29;5.86;22.14;69.87;625.84;-555.97;0;NA;NA;15.08;181;18.28;29.77;24.04;9.85;177;9.5;105;2.367;2.716;6.958;224.53;24.9
623;7.45;13.74;0.8;1;1.5;422.3;53.71;19.4;1.42;17.3;12.9;3.9;14.97;31.32;0.56;0.45;0.64;-0.23;0.52;0.3;0.18;1.04;Bajo;604464;9426270;Piura;Morropon;La Matanza;Banano;Silty clay loam;Ferralsols;Alluvial terrace;Tropical Premontane desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;66.49;20.1;5.15;4.12;3.31;12.9;3.9;16.8;84.53;688.24;-603.71;0;NA;NA;15.33;184;18.3;29.78;24.04;3.63;174;116.47;101;1.49;1.327;7.926;226.48;24.9
624;7.73;14.68;0.4;1.3;1.1;526.2;45.71;21.5;1.39;16;14.5;4.3;10.97;43.32;0.69;0.35;0.47;-0.33;0.42;0.34;0.21;1.21;Bajo;604587;9425231;Piura;Morropon;La Matanza;Limon;Silty clay loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;67.44;20;6.05;1.86;3.37;11.15;3.31;14.46;90.31;770.62;-680.31;0;NA;NA;15;180;18.27;29.82;24.04;1.62;180;180;103;0.02;1.059;8.768;225.73;24.9
