ID,X,Y,pH,EC,Na,K,MO,Kdisp,Silt,ECEC,BD,CEC,Ca,Mg,Sand,Clay,SQIw,SAVI,EVI,NDWI,NDVI,NDMI,NDII,GCI,clase,dpto,prov,dist,Culitvo_pr,Textura,TS,GM,ZV,CL,EG,MP,SSST,ECP,EMP,EPP,ESP,CM,CK,MK,CMK,DC,FC,NDC,GR,Pmon,Pan,Tmin,Tmax,Tavg,Slope,Hillshade,Orientatio,Elevation,TPI,TRI,TWI,Precipitat,Temperatur,site_id_internal_rk,Elevation,Slope,Orientation,Hillshade,TPI,TRI,TWI,NDVI,SAVI,NDWI,Precipitation,Temperature
21,603398,9434573,6.9,14.58,0.1,0.3,3.3,316.2,11.2,23,1.52,19.5,16.7,4.4,62.8,26,0.93,0.31,0.41,-0.32,0.4,0.3,0.17,0.93,Alto,Piura,Morropon,Chulucanas,Mango,Sandy loam,Lixisols,Alluvial terrace,Tropical Premontane desert scrub,"D (i , p) A'",Cenozoico,Fluvial deposit,Neutral saline soil,72.61,19.13,1.3,0.43,3.8,55.67,14.67,70.33,40.18,870.78,-830.6,0,15.58,187,18.32,29.91,24.12,3.24,180,180,119,-1.082,1.412,8.227,231.88,24.9,21,120.47872924804688,4.255985736846924,156.45457458496094,178.0937042236328,0.18778248131275177,2.0438480377197266,8.033611297607422,0.3965802490711212,0.30994346737861633,-0.32287171483039856,231.87547302246094,24.899999618530273
22,592378,9434779,7.8,6.29,0.1,0.4,2.8,127.6,23.2,16.2,1.41,18.3,13,1.7,30.6,46.2,0.64,0.41,0.56,-0.26,0.52,0.24,0.12,0.87,Bajo,Piura,Morropon,Chulucanas,Mango,Loam,Lixisols,Alluvial terrace,Tropical desert scrub,E (d) A',Cenozoico,Alluvial deposit,Neutral saline soil,80.25,10.49,2.47,0.62,7.65,32.5,4.25,36.75,36.39,631.48,-595.09,0,13.17,158,18.22,29.87,24.03,5.14,172,108.37,93,0.653,1.733,7.505,195.35,24.8,22,92.2638931274414,4.279336452484131,213.32693481445313,183.65858459472656,0.2845694422721863,1.691829800605774,7.778539180755615,0.520370364189148,0.4052884578704834,-0.26375624537467957,195.35073852539063,24.799999237060547
23,592751,9435302,7.8,6.46,0.1,0.4,1.5,122,14.2,22.1,1.51,19.3,17.6,2,56.1,29.7,0.74,0.33,0.42,-0.31,0.4,0.32,0.2,1.1,Bajo,Piura,Morropon,Chulucanas,Mango,Sandy loam,Ferralsols,Floodplain,Tropical desert scrub,E (d) A',Cenozoico,Alluvial deposit,Neutral saline soil,79.64,9.05,1.81,0.45,8.8,44,5,49,41.5,846.58,-805.08,0,14.83,178,18.22,29.82,24.03,8.75,166,111.72,94,1.02,1.9,6.979,197.85,24.8,23,93.45099639892578,5.931339263916016,204.9163360595703,182.33584594726563,0.5564315915107727,2.010667085647583,7.585453510284424,0.39528346061706543,0.33293870091438293,-0.31080836057662964,197.85301208496094,24.799999237060547
24,597853,9431186,7.4,15.25,0.1,0.9,1.2,199.1,28.2,22.8,1.45,19.9,15.9,4.4,36.1,35.7,0.8,0.34,0.47,-0.33,0.41,0.31,0.19,1.09,Medio,Piura,Morropon,Chulucanas,Mango,Clay loam,Ferralsols,Alluvial terrace,Tropical desert scrub,E (d) A',Cenozoico,Fluvial deposit,Neutral saline soil,69.74,19.3,3.95,0.44,3.61,17.67,4.89,22.56,66.38,835.38,-769,0,14.58,175,18.22,29.98,24.11,4.59,174,134.88,94,-0.776,1.887,7.644,208.33,24.8,24,94.71105194091797,4.277503967285156,128.6294708251953,176.0403289794922,-0.15145832300186157,1.7034189701080322,7.880992412567139,0.40941253304481506,0.3369143307209015,-0.33356860280036926,208.330810546875,24.799999237060547
25,591171,9437536,7.4,5.97,0.1,0.3,0.9,81.3,14.2,11.1,1.57,20.6,7.6,2.1,72.1,13.7,0.52,0.4,0.54,-0.27,0.5,0.26,0.13,0.94,Muy bajo,Piura,Morropon,Chulucanas,Mango,Sandy loam,Fluvisols,Alluvial terrace,Tropical desert scrub,E (d) A',Cenozoico,Alluvial deposit,Neutral saline soil,68.47,18.92,2.7,0.9,3.62,25.33,7,32.33,27.17,399.18,-372.01,0,12.92,155,18.23,29.93,24.08,3.63,186,243.53,86,0.673,1.504,7.775,196.48,24.8,25,85.1824951171875,3.8489370346069336,170.05348205566406,181.48814392089844,-0.4510485529899597,1.5826524496078491,7.832884788513184,0.4975455701351166,0.39770179986953735,-0.2697167694568634,196.47952270507813,24.799999237060547
26,594337,9435909,7.7,7.34,0.1,0.2,2.7,250.2,27.2,33.5,1.36,19.4,26.5,5.7,14.8,58,0.62,0.4,0.56,-0.25,0.51,0.3,0.19,0.93,Alto,Piura,Morropon,Chulucanas,Mango,Silty clay loam,Lixisols,Alluvial terrace,Tropical desert scrub,E (d) A',Cenozoico,Alluvial deposit,Neutral saline soil,79.1,17.01,0.6,0.3,4.65,132.5,28.5,161,47.69,1346.78,-1299.09,0,13.58,163,18.24,29.78,24,8.29,166,78.73,106,5.633,2.43,7.11,204.5,24.8,26,101.2386245727539,7.689377784729004,140.0524444580078,177.27731323242188,1.0186858177185059,2.459014654159546,7.301762104034424,0.5054493546485901,0.40044352412223816,-0.251715749502182,204.50009155273438,24.799999237060547
27,590336,9436982,7.8,11.01,0.1,0.9,2,112,37.2,35.5,1.35,17.2,25.5,8,6.8,56,0.65,0.33,0.44,-0.31,0.42,0.21,0.07,0.84,Medio,Piura,Morropon,Chulucanas,Limon,Silty clay loam,Lixisols,Floodplain,Tropical desert scrub,E (d) A',Cenozoico,Alluvial deposit,Neutral saline soil,71.83,22.54,2.54,0.28,3.19,28.33,8.89,37.22,82.1,1364.58,-1282.48,0,12.83,154,18.21,29.95,24.08,2.29,177,45.11,85,0.592,1.511,8.224,192.55,24.8,27,84.79239654541016,3.4494221210479736,146.63427734375,179.83831787109375,-0.35652899742126465,1.3809332847595215,8.128156661987305,0.41591694951057434,0.33450835943222046,-0.31082701683044434,192.54624938964844,24.799999237060547
28,590490,9434582,7.8,8.86,0.1,0.4,1.6,158.2,31.2,29.4,1.38,17.1,21.5,6.4,16.8,52,0.74,0.31,0.42,-0.31,0.39,0.28,0.15,1,Medio,Piura,Morropon,Chulucanas,Limon,Silty clay loam,Ferralsols,Floodplain,Tropical desert scrub,E (d) A',Cenozoico,Alluvial deposit,Neutral saline soil,73.13,21.77,1.36,0.34,3.36,53.75,16,69.75,52.88,1140.88,-1088,0,12.5,150,18.16,29.98,24.08,8.75,195,291.72,85,-2.265,3.009,6.917,188.3,24.8,28,86.7799072265625,7.483404159545898,205.2451171875,183.21182250976563,-1.5967779159545898,3.1661434173583984,7.2773590087890625,0.3877980411052704,0.30997759103775024,-0.31468531489372253,188.29881286621094,24.799999237060547
29,588223,9438028,7.5,7.99,0.1,0.4,1.1,128.2,24.2,16.5,1.45,20.9,11.2,3.8,36.1,39.7,0.67,0.28,0.36,-0.32,0.35,0.25,0.13,0.87,Bajo,Piura,Morropon,Chulucanas,Mango,Loam,Fluvisols,Alluvial terrace,Tropical desert scrub,E (d) A',Cenozoico,Fluvial deposit,Neutral saline soil,67.88,23.03,2.42,0.61,2.95,28,9.5,37.5,38.16,607.18,-569.02,0,12.75,153,18.17,30.03,24.08,5.85,189,236.41,81,-1.265,1.495,7.26,187.1,24.8,29,82.46993255615234,4.2958245277404785,167.72402954101563,181.4578399658203,-0.25005465745925903,1.8016126155853271,7.751814842224121,0.34779542684555054,0.27722588181495667,-0.3229483366012573,187.0975341796875,24.799999237060547
30,598472,9432812,7.7,8.5,0.1,0.5,2.9,228,24.2,44.5,1.39,20.7,36.2,6.2,24.1,51.7,0.78,0.36,0.49,-0.27,0.45,0.29,0.17,0.97,Alto,Piura,Morropon,Chulucanas,Mango,Silty loam,Lixisols,Alluvial terrace,Tropical Premontane desert scrub,E (d) A',Cenozoico,Fluvial deposit,Neutral saline soil,81.35,13.93,1.12,0.22,5.84,72.4,12.4,84.8,71.74,1797.08,-1725.34,0,14.33,172,18.22,29.95,24.08,1.63,177,90,97,0.061,0.843,8.704,212.98,24.8,30,96.83438873291016,2.2915821075439453,119.6657943725586,179.98812866210938,0.1606517732143402,0.9775064587593079,8.584446907043457,0.45072928071022034,0.35784220695495605,-0.27261435985565186,212.97879028320313,24.799999237060547
